lemma;tags;noter
slyde;"MIL;HÅN";USIKKER
snare;"HÅN;MIL";NA
snedker;HÅN;NA
snor;HÅN;NA
spandemager;HÅN;NA
spandrem;HÅN;NA
spanskgrønt;"HÅN;FLO";NA
sparkalk;HÅN;NA
spid;"GAS;HÅN;MIL";NA
spiger;HÅN;NA
spil;"HÅN;SØF";NA
sprinkel;HÅN;USIKKER
sprung;"HAN;HÅN";NA
spund;"HÅN;GAS";NA
spæk;"FAU;HÅN";NA
spær;HÅN;NA
spærhage;HÅN;NA
stampe;HÅN;NA
steg;HÅN;USIKKER
stel;HÅN;NA
stelle;HÅN;NA
stemp;HÅN;NA
stempel;HÅN;NA
stenlim;HÅN;NA
stift;HÅN;NA
stihage;HÅN;NA
stolpe;HÅN;NA
stregmål;HÅN;NA
strikke;HÅN;NA
strimmel;"KRO;BEK;HÅN";NA
stæmpe;HÅN;NA
støtte;"HÅN;BES";NA
svibbue;HÅN;NA
sværdfeger;HÅN;NA
sværte;HÅN;NA
syl;HÅN;USIKKER
syldøkse;HÅN;USIKKER
sylle;HÅN;NA
sættenagle;HÅN;NA
søgere;HÅN;NA
sølverglød;HÅN;NA
sål;"KRO;HÅN";NA
taft;HÅN;NA
tagl;HÅN;NA
tange;HÅN;USIKKER
taskemager;HÅN;NA
teglslagere;HÅN;NA
teglsten;HÅN;NA
tenværk;HÅN;NA
test;HÅN;USIKKER
told;HÅN;NA
toslagere;HÅN;NA
tov;HÅN;NA
tral;HÅN;NA
tremme;HÅN;NA
trisse;"HÅN;SØF";NA
tub;HÅN;NA
tumler;"SAM;HÅN";NA
tvege;"FLO;HÅN";NA
tøj;"HÅN;MIL;HUS;BEK";NA
tønde;"HÅN;KVA";USIKKER
uart;HÅN;NA
udligger;"HÅN;SAM";NA
underslag;"BEV;HAN;HÅN";NA
unseguld;HÅN;NA
ur;"HÅN;TID";NA
valkemølle;HÅN;USIKKER
vange;HÅN;NA
vantmager;HÅN;NA
varp;"HAN;SØF;HÅN;VER";USIKKER
vildtværk;"FAU;HÅN";NA
vimmel;HÅN;NA
vinde;HÅN;USIKKER
vindetakkel;HÅN;NA
vinforlader;HÅN;NA
vippe;HÅN;NA
vognskud;HÅN;NA
væge;HÅN;NA
værk;HÅN;NA
værker;HÅN;NA
æggetøj;HÅN;USIKKER
øse;HÅN;NA
øsken;HÅN;NA
