lemma;tags;ordklasse;transfertype;noter
datum;TID;S;L;NA
deger;KVA;S;L;NA
del;KVA;S;L;NA
desmer;FAU;S;L;NA
dialesalve;BEK;S;L;NA
digegreve;SAM;S;L;NA
digel;HÅN;S;L;NA
digt;MUS;S;L;NA
dirk;HÅN;S;L;NA
dise;BEK;S;L;NA
dising;VER;S;L;USIKKER
dobbe;FAU;S;L;NA
dobbel;SAM;S;L;NA
dok;SØF;S;L;NA
dole;SAM;S;L;NA
dolslag;BEK;S;L;NA
donkraft;HÅN;S;L;NA
drabant;MIL;S;L;NA
drager;SAM;S;L;NA
dragesele;BEV;S;L;NA
dragt;BEK;S;L;NA
dressel;BES;S;L;NA
drone;FAU;S;L;NA
dros;KRO;S;L;NA
drossel;FAU;S;L;NA
drost;SAM;S;L;NA
drue;KVA;S;L;NA
drukkenbolt;SAM;S;L;NA
drummer;REL;S;L;USIKKER
drunk;HAN;S;L;NA
dryp;HAN;S;L;NA
dræk;HUS;S;L;NA
dudendop;SAM;S;L;NA
dug;HUS;S;L;NA
dugt;SØF;S;L;NA
dukke;HUS;S;L;NA
dumrian;SAM;S;L;NA
dunder;VER;S;L;NA
dunk;HÅN;S;L;NA
dunst;SAN;S;L;USIKKER
dup;HÅN;S;L;NA
durik;FAU;S;L;NA
dus;SAM;S;L;NA
dusin;KVA;S;L;NA
dvælg;SØF;S;L;NA
dvælg;HUS;S;L;NA
dyring;TID;S;L;NA
dyst;MIL;S;L;NA
dyvel;HÅN;S;L;NA
dæksel;HÅN;S;L;NA
dæle;HÅN;S;L;NA
dødike;HÅN;S;L;NA
dørk;SØF;S;L;NA
dørns;HUS;S;L;USIKKER
dørslag;HUS;S;L;USIKKER
dåb;REL;S;L;NA
dåre;SAM;S;L;NA
dårekiste;SAM;S;L;NA
ebbe;VER;S;L;NA
eddike;GAS;S;L;NA
ege;SØF;S;L;NA
ejendom;JUR;S;L;NA
ejland;VER;S;L;NA
elende;FØL;S;L;NA
endesked;SAM;S;L;NA
endragt;SAM;S;L;NA
es;KVA;S;L;NA
es;FØL;S;L;NA
esping;SØF;S;L;NA
esse;HUS;S;L;USIKKER
etmål;SØF;S;L;NA
eventyr;HAN;S;L;NA
evert;SØF;S;L;NA
fadder;REL;S;L;NA
fadderskab;REL;S;L;NA
fadderske;REL;S;L;NA
fagte;HAN;S;L;NA
faldbom;MIL;S;L;NA
falk;FAU;S;L;NA
falkeleje;FAU;S;L;NA
falkoner;FAU;S;L;NA
falkonet;SØF;S;L;USIKKER
fals;HAN;S;L;NA
falsk;HAN;S;L;NA
falskner;SAM;S;L;NA
fane;MIL;S;L;NA
fange;MIL;S;L;USIKKER
fangst;FAU;S;L;NA
fanke;FLO;S;L;NA
fant;SAM;S;L;USIKKER
fare;FØL;S;L;NA
farlighed;FØL;S;L;NA
fart;BEV;S;L;NA
fartøj;BEV;S;L;NA
farve;HÅN;S;L;NA
fastelavn;REL;S;L;NA
feber;KRO;S;L;NA
fedel;MUS;S;L;NA
fejde;MIL;S;L;NA
fejefyr;REL;S;L;NA
fejl;HAN;S;L;NA
felt;VER;S;L;NA
fenne;VER;S;L;NA
fennikel;FLO;S;L;NA
ferdendel;KVA;S;L;NA
fernis;HÅN;S;L;NA
fetalje;GAS;S;L;NA
fetaljebroder;SAM;S;L;NA
fibel;HUS;S;L;NA
fikke;BEK;S;L;NA
filt;HÅN;S;L;NA
finke;FAU;S;L;NA
finker;GAS;S;L;NA
finne;FAU;S;L;NA
fiol;MUS;S;L;NA
firk;BES;S;L;NA
fistel;KRO;S;L;USIKKER
fjas;SPR;S;L;NA
flab;KRO;S;L;NA
flid;HAN;S;L;NA
flise;HÅN;S;L;NA
flod;VER;S;L;NA
flok;HÅN;S;L;NA
flomme;KRO;S;L;NA
flugt;MIL;S;L;NA
flæb;KRO;S;L;NA
flække;SAM;S;L;NA
fløjl;BEK;S;L;NA
fløjte;MUS;S;L;NA
foder;HÅN;S;L;NA
foermand;SAM;S;L;NA
foerværk;HÅN;S;L;NA
foged;JUR;S;L;NA
fogedi;JUR;S;L;NA
fok;SØF;S;L;NA
fold;FAU;S;L;USIKKER
foragt;FØL;S;L;NA
forbandt;HÅN;S;L;NA
forbeding;REL;S;L;NA
forborg;MIL;S;L;NA
forbund;SAM;S;L;NA
fordel;HAN;S;L;NA
fordæk;SØF;S;L;NA
fordærv;HAN;S;L;NA
forfader;SLÆ;S;L;NA
forfald;HAN;S;L;NA
forfang;HAN;S;L;NA
forgift;GAS;S;L;NA
forhoved;KRO;S;L;NA
forhæng;HUS;S;L;NA
forkastel;SØF;S;L;NA
forkering;"HAN;SAM";S;L;NA
forlag;BES;S;L;NA
forlis;BES;S;L;NA
forlisning;BES;S;L;NA
forlov;JUR;S;L;NA
forlust;BES;S;L;NA
formue;BES;S;L;NA
formynder;JUR;S;L;NA
formynderskab;JUR;S;L;NA
fornotling;JUR;S;L;NA
fornuft;FØL;S;L;NA
forpligt;JUR;S;L;NA
forprang;BES;S;L;NA
forpæling;MIL;S;L;NA
forram;HAN;S;L;NA
forræder;JUR;S;L;NA
forsigtighed;HAN;S;L;NA
forskel;KOG;S;L;NA
forspan;BEK;S;L;NA
forsprekker;SAM;S;L;NA
forstand;KOG;S;L;NA
forstrand;VER;S;L;NA
fortgang;BEV;S;L;NA
fortog;SØF;S;L;NA
fortræd;FØL;S;L;NA
fortøgering;HAN;S;L;NA
forvantskab;SLÆ;S;L;NA
forvar;HAN;S;L;NA
forvorpenhed;HAN;S;L;NA
foræring;BES;S;L;NA
fourer;"SAM;MIL";S;L;USIKKER
fragt;SØF;S;L;NA
fransos;SAM;S;L;NA
fribytter;MIL;S;L;NA
frier;SAM;S;L;NA
frihed;SAM;S;L;NA
friherre;SAM;S;L;NA
fritte;FAU;S;L;NA
frokost;GAS;S;L;NA
fromesse;REL;S;L;NA
frugt;FLO;S;L;NA
frygt;FØL;S;L;NA
frynt;SLÆ;S;L;NA
fryntskab;SLÆ;S;L;NA
frøken;SAM;S;L;NA
fråds;HAN;S;L;NA
fugt;VER;S;L;NA
fuldbord;JUR;S;L;NA
fuldmagt;JUR;S;L;NA
fusthammer;HÅN;S;L;NA
fyldest;"JUR;BES";S;L;NA
fyr;"VER;SØF";S;L;NA
fyraften;TID;S;L;NA
fyrbøder;HÅN;S;L;NA
fyrighed;FØL;S;L;NA
fyrste;SAM;S;L;NA
fyrstinde;SAM;S;L;NA
fyrtøj;HÅN;S;L;NA
fælg;HÅN;S;L;NA
fængsel;JUR;S;L;NA
fænnik;MIL;S;L;NA
fætter;SLÆ;S;L;NA
føje;JUR;S;L;NA
gadder;HUS;S;L;NA
gaffel;"GAS;MIL;SØF;HÅN";S;L;NA
galej;SØF;S;L;NA
galle;"FLO;KRO;HÅN";S;L;NA
garn;HÅN;S;L;NA
gebyr;BES;S;L;NA
gebærd;HAN;S;L;NA
gefald;"FØL;HAN";S;L;NA
gehør;SAN;S;L;NA
geled;MIL;S;L;NA
gelegenhed;HAN;S;L;NA
gelejdsmand;BEV;S;L;NA
gemak;HUS;S;L;NA
geryst;HÅN;S;L;NA
geråd;BES;S;L;NA
gesel;HÅN;S;L;NA
gesellestik;MIL;S;L;NA
gesind;HUS;S;L;NA
gesindeken;HUS;S;L;NA
geskæft;HAN;S;L;NA
geskænk;BES;S;L;NA
getov;HÅN;S;L;NA
gevind;BES;S;L;NA
gevær;MIL;S;L;NA
gie;SØF;S;L;NA
gige;MUS;S;L;NA
gigt;KRO;S;L;NA
glas;"HÅN;GAS;SØF";S;L;NA
glut;SAM;S;L;USIKKER
glætte;HÅN;S;L;NA
greve;SAM;S;L;NA
grever;GAS;S;L;NA
grib;FAU;S;L;NA
grimmenis;SAM;S;L;USIKKER
grindel;HUS;S;L;NA
groffenbrad;GAS;S;L;NA
grube;"VER;HÅN";S;L;NA
grue;"HUS;VER";S;L;NA
grus;VER;S;L;NA
grænse;SAM;S;L;NA
græsspire;FLO;S;L;USIKKER
grævling;FAU;S;L;NA
grøde;"FLO;KRO";S;L;NA
gunst;FØL;S;L;NA
gylden;BES;S;L;NA
gylle;FLO;S;L;NA
gæk;HÅN;S;L;NA
gæk;SAM;S;L;NA
gækkeri;HAN;S;L;NA
gøgelspil;HAN;S;L;NA
gøgl;HAN;S;L;NA
gøgler;SAM;S;L;NA
hage;MIL;S;L;NA
hagebøsse;MIL;S;L;NA
hakkebræt;"HUS;MUS";S;L;NA
hakkelse;FLO;S;L;NA
halle;SAM;S;L;NA
handel;HAN;S;L;NA
handske;BEK;S;L;NA
hank;HÅN;S;L;NA
hanrej;SLÆ;S;L;NA
hans;SAM;S;L;NA
hansa;SAM;S;L;NA
harnisk;MIL;S;L;NA
harpiks;FLO;S;L;NA
harrild;FLO;S;L;USIKKER
has;FLO;S;L;NA
hase;KRO;S;L;USIKKER
hast;BEV;S;L;NA
hattestafferer;HÅN;S;L;NA
havelværk;MIL;S;L;NA
heggel;FLO;S;L;NA
hegle;FLO;S;L;NA
helled;SAM;S;L;NA
helsfyr;REL;S;L;NA
helt;SAM;S;L;NA
herberg;SAM;S;L;NA
herd;"HUS;HÅN";S;L;NA
hermelin;BEK;S;L;NA
herold;SAM;S;L;NA
herskab;SAM;S;L;NA
hertug;SAM;S;L;NA
hingst;FAU;S;L;NA
hippokras;GAS;S;L;NA
hirse;FLO;S;L;NA
hjerteslag;FAU;S;L;NA
hob;KVA;S;L;NA
hof;SAM;S;L;NA
hoffart;HAN;S;L;NA
hoffourer;SAM;S;L;NA
hoffærdighed;HAN;S;L;NA
hofte;KRO;S;L;NA
homej;MIL;S;L;NA
horesøn;SLÆ;S;L;NA
hov;SAM;S;L;NA
hovedskib;SØF;S;L;NA
hovmand;SAM;S;L;NA
hovmester;"SAM;SØF";S;L;NA
hovmod;FØL;S;L;NA
huj;BEV;S;L;USIKKER
huk;"RUM;SØF";S;L;NA
husblas;GAS;S;L;NA
husgesinde;HUS;S;L;USIKKER
hvalrav;FAU;S;L;NA
hvalspæk;FAU;S;L;NA
hvergarn;HÅN;S;L;NA
hyllike;BEK;S;L;NA
hylster;HÅN;S;L;NA
hyre;"BES;SØF";S;L;NA
hyrling;SAM;S;L;NA
hysken;HUS;S;L;NA
hyssing;"HÅN;SØF";S;L;NA
hægte;HÅN;S;L;NA
hægte;JUR;S;L;NA
hælding;SØF;S;L;NA
hælvt;KVA;S;L;NA
høfde;VER;S;L;NA
høker;HÅN;S;L;NA
høved;FAU;S;L;NA
høvl;HÅN;S;L;NA
hån;FØL;S;L;NA
hånhed;FØL;S;L;NA
igle;FAU;S;L;NA
igt;KRO;S;L;NA
il;BEV;S;L;NA
inderste;SAM;S;L;NA
indholt;SØF;S;L;NA
indkomst;BES;S;L;NA
indlager;JUR;S;L;NA
indpas;BEV;S;L;NA
indvåner;SAM;S;L;NA
ingefær;FLO;S;L;NA
irisk;FAU;S;L;NA
isben;BEK;S;L;NA
isenkram;HÅN;S;L;NA
ister;GAS;S;L;USIKKER
iver;FØL;S;L;NA
jagt;MIL;S;L;NA
jaherre;SAM;S;L;NA
jakke;BEK;S;L;NA
jammer;FØL;S;L;NA
jammerdal;FØL;S;L;NA
jennik;REL;S;L;NA
jolle;SØF;S;L;NA
jomfru;SAM;S;L;NA
junge;SAM;S;L;NA
jungelin;SAM;S;L;NA
junker;SAM;S;L;NA
jæger;MIL;S;L;NA
jøde;SAM;S;L;NA
kabe;SØF;S;L;NA
kabel;SØF;S;L;NA
kabys;SØF;S;L;NA
kag;JUR;S;L;NA
kahyt;SØF;S;L;NA
kakkel;HUS;S;L;NA
kalent;REL;S;L;NA
kalk;HÅN;S;L;NA
kalkun;FAU;S;L;NA
kallun;GAS;S;L;NA
kamp;HAN;S;L;NA
kanel;GAS;S;L;NA
kanin;FAU;S;L;NA
kans;"KOG;HAN";S;L;NA
kant;RUM;S;L;NA
kanut;SAM;S;L;NA
kapel;REL;S;L;NA
kapel;HÅN;S;L;NA
kappe;BEK;S;L;NA
kapperøllike;BEK;S;L;NA
kaprun;BEK;S;L;NA
kapun;FAU;S;L;NA
karde;HÅN;S;L;NA
kardus;"MIL;KVA";S;L;NA
karnap;HUS;S;L;NA
karpe;FAU;S;L;NA
karpe;HÅN;S;L;NA
karre;BEV;S;L;NA
karse;FLO;S;L;NA
karte;HÅN;S;L;NA
