lemma;tags;ordklasse;transfertype;noter
stævne;"JUR;SAM";S;K;USIKKER
stød;"HAN;FØL;TID";S;K;USIKKER
svinedrift;JUR;S;K;NA
svinepenninge;BES;S;K;USIKKER
sværdside;SLÆ;S;K;USIKKER
sæk;SAM;S;K;NA
sølvskum;HÅN;S;K;USIKKER
tidepenge;BES;S;K;NA
tidløs;FLO;S;K;NA
tilbehøring;HUS;S;K;NA
tilforsigt;KOG;S;K;NA
tilfælde;HAN;S;K;NA
tilfør;HAN;S;K;NA
tilgift;BES;S;K;NA
tilhænger;SAM;S;K;NA
tilkomst;HAN;S;K;NA
tillag;HÅN;S;K;NA
tilslager;HÅN;S;K;NA
tinde;HÅN;S;K;USIKKER
tingbog;SAM;S;K;NA
tingbænk;SAM;S;K;NA
tingest;SAM;S;K;NA
tinghøring;SAM;S;K;NA
tingstok;"SAM;JUR";S;K;NA
tingtid;TID;S;K;NA
tjuvestok;MIL;S;K;NA
tresur;"HUS;BES";S;K;NA
trøst;"SPR;FØL";S;K;NA
tusindblad;FLO;S;K;NA
tømmermand;"HÅN;SØF;FAU";S;K;NA
uddrag;JUR;S;K;NA
udgift;"HAN;BES";S;K;NA
udædere;JUR;S;K;USIKKER
ulv;KRO;S;K;NA
underlag;VER;S;K;NA
uråd;HAN;S;K;USIKKER
vadsæk;HUS;S;K;NA
valsted;MIL;S;K;USIKKER
vandkarse;FLO;S;K;USIKKER
vandkrukke;HUS;S;K;USIKKER
vandring;"HAN;BEV";S;K;NA
vandsten;HUS;S;K;NA
vantro;"FØL;REL";S;K;NA
varere;MIL;S;K;NA
varulv;"SAM;FAU";S;K;USIKKER
vattersot;KRO;S;K;NA
vedaske;FLO;S;K;USIKKER
vederhage;"MIL;VER";S;K;NA
vederlag;BES;S;K;NA
vederlyd;VER;S;K;NA
vedermod;FØL;S;K;NA
vederskin;VER;S;K;NA
vederspring;"HAN;BEV";S;K;NA
vederstand;FØL;S;K;NA
vedervilje;FØL;S;K;NA
vejleje;MIL;S;K;NA
velkomme;HUS;S;K;NA
vellyst;FØL;S;K;NA
vemod;FØL;S;K;NA
vesten;VER;S;K;NA
vindfang;"HÅN;SØF;VER;HUS;BEK";S;K;NA
vinlag;GAS;S;K;NA
vinmand;HÅN;S;K;NA
vinsten;FLO;S;K;USIKKER
vinterlag;"SØF;BES";S;K;USIKKER
vogndriver;BEV;S;K;USIKKER
vove;VER;S;K;USIKKER
vrag;HAN;S;K;USIKKER
vrager;SAM;S;K;NA
vragfisk;FAU;S;K;NA
vraggods;BES;S;K;USIKKER
vragsten;HÅN;S;K;USIKKER
væddeløb;HAN;S;K;USIKKER
væddeskat;BES;S;K;USIKKER
vægge;GAS;S;K;NA
vælde;"SAM;HAN";S;K;NA
