lemma;tags;ordklasse;transfertype;falsepositive;noter
knebel;HÅN;S;L;;
knevel;"HÅN;SØF";S;L;;
knibe;"HÅN;FØL";S;L;;
knibtang;HÅN;S;L;1;USIKKER
knipling;HÅN;S;L;;
knippel;MIL;S;L;;
kniv;"HÅN;MIL";S;L;1;
knob;"SØF;HÅN";S;L;;
knoge;KRO;S;L;1;USIKKER
knogle;KRO;S;L;;
knokkel;KRO;S;L;1;
knop;"RUM;FLO";S;L;1;
knot;"HÅN;SAM";S;L;1;
knægt;SAM;S;L;;
knæk;HAN;S;L;;
knæler;SAM;S;L;1;
knæling;"SAM;HÅN";S;L;1;USIKKER
kobbel;SAM;S;L;;
kobber;"HÅN;SØF";S;L;1;
kobberrøg;HÅN;S;K;;
kode;FAU;S;L;;
koffardi;SØF;S;L;1;
kog;VER;S;L;1;
kogge;SØF;S;L;;
kogger;"MIL;SØF";S;L;;
kogler;SAM;S;L;;
kok;GAS;S;L;;
kol;"KRO;VER";S;L;1;
kolbe;"MIL;HÅN";S;L;;
koldskål;GAS;S;L;;
kommen;GAS;S;L;;
komst;HAN;S;L;;
kop;"HUS;KRO";S;L;;
korde;"HÅN;MUS";S;L;1;
korde;BEK;S;L;;
kordel;"HÅN;SØF";S;L;1;
korduan;HÅN;S;L;1;
korn;BES;S;L;;
kort;"SØF;SAM";S;L;1;
kortvil;HAN;S;L;;
kost;JUR;S;L;;
kost;GAS;S;L;;
kove;HUS;S;L;1;
kovs;HUS;S;L;;
kovsken;HUS;S;L;;
kraftkirke;REL;S;N;;
kragejolle;SØF;S;L;;
krakel;HAN;S;L;;
kram;SAM;S;L;;
krammeri;SAM;S;L;;
krampe;KRO;S;L;;
krampe;HÅN;S;L;;
kran;HÅN;S;L;;
krans;"FLO;HÅN";S;L;;
krave;"BEK;FAU";S;L;;
kravel;SØF;S;L;;
kreds;SAM;S;L;1;
krejert;SØF;S;L;;
kride;VER;S;L;1;
kridt;VER;S;L;;
krig;MIL;S;L;;
kristen;REL;S;L;1;
kro;SAM;S;L;;
kroer;SAM;S;L;;
kroerske;SAM;S;L;;
krofader;SAM;S;L;1;USIKKER
krone;BEK;S;L;;
krop;KRO;S;L;1;
krop;FAU;S;L;;
krud;FLO;S;L;;
krudt;MIL;S;L;;
krukke;HUS;S;L;;
krumholt;SØF;S;K;;
krumkage;GAS;S;L;;
krumme;GAS;S;L;;
krus;HUS;S;L;;
krusbær;FLO;S;L;;
kruse;BEK;S;L;;
krusemynte;FLO;S;L;;
krybbe;FAU;S;L;;
krydde;GAS;S;L;;
krydder;GAS;S;L;;
krydderbrød;GAS;S;L;1;USIKKER
krydderi;GAS;S;L;;
kryds;RUM;S;L;;
krydsurt;FLO;S;L;1;
kræft;KRO;S;L;;
kræft;MIL;S;L;;
kræge;FLO;S;L;;
kræmmer;SAM;S;L;;
kræmmerhus;HUS;S;L;1;USIKKER
kræmmeri;HAN;S;L;;
krøbel;KRO;S;L;1;
krøgle;RUM;S;L;;
krølle;"KRO;BEK";S;L;1;
krønike;SAM;S;L;;
krøs;HÅN;S;L;1;
kråse;FAU;S;L;;
kube;HÅN;S;L;;
kuf;SØF;S;L;1;
kulde;VER;S;L;1;
kule;"VER;SØF";S;K;;
kule;FAU;S;L;;
kulegraver;SAM;S;K;1;USIKKER
kuller;"FAU;KRO";S;L;;
kumme;HUS;S;L;;
kummer;FØL;S;L;;
kumpan;SAM;S;L;;
kundskab;"KOG;JUR";S;L;;
kundskaber;MIL;S;K;;
kunst;MUS;S;L;;
kunster;MUS;S;L;;
kur;HAN;S;L;;
kure;SAM;S;L;;
kure;HAN;S;L;1;
kuretårn;MIL;S;K;;
kurv;"HUS;HÅN";S;L;;
kuvert;"HUS;GAS";S;L;1;
kvabbe;"FAU;SØF";S;L;;USIKKER
kvalm;"VER;FØL";S;L;;
kvalster;KRO;S;L;;
kvansvis;HAN;S;L;;
kvant;SAM;S;L;;
kvarter;"RUM;KVA;TID";S;L;;
kvase;SØF;S;L;1;
kvast;HÅN;S;L;1;
kvater;KVA;S;L;;
kvikstjært;FAU;S;L;;
kviksølv;HÅN;S;K;;
kvint;MUS;S;L;;
kvint;KVA;S;L;;
kvintin;KVA;S;L;;
kvittebrev;BES;S;L;;
kvæde;FLO;S;L;;
kvæg;FAU;S;K;;
kyrbis;FLO;S;L;1;
kyssel;HUS;S;L;;
kæbe;KRO;S;L;;USIKKER
kæde;"HÅN;SAM";S;L;;
kælderhals;FLO;S;L;;
kæmler;SAM;S;L;;
kæmner;SAM;S;L;;
kæmpe;"MIL;KRO";S;L;;
kæmper;"MIL;KRO";S;L;1;
kætter;REL;S;L;;
købmand;SAM;S;L;;USIKKER
købmandskab;SAM;S;L;;
købslag;BES;S;L;;
købstad;SAM;S;L;1;
køgemester;SAM;S;L;;
køje;"FAU;HUS";S;L;;
køkerske;HUS;S;L;;
køkken;HUS;S;L;;
køkkenmester;HUS;S;L;;
kønrøg;HÅN;S;L;;
kørsener;HÅN;S;L;;
kørvel;FLO;S;L;;
køter;FAU;S;L;;
kå;FAU;S;L;1;
kådner;SAM;S;L;;
kårde;MIL;S;L;;
kås;SØF;S;L;;
lade;HAN;S;K;;
lade;HÅN;S;L;;
lage;GAS;S;L;;
lagen;HUS;S;L;;
lak;FØL;S;L;;
lakhed;HAN;S;L;;
lakrids;FLO;S;L;1;
laktuk;FLO;S;L;1;
lampe;HUS;S;L;;
landfaring;SAM;S;L;1;USIKKER
landløbere;SAM;S;L;;
landskab;"VER;SAM";S;K;;
landsåt;SAM;S;L;;
langhilde;TID;S;L;1;USIKKER
langvogn;HÅN;S;L;;
lapperi;HAN;S;L;;
las;BEK;S;L;;
last;SØF;S;L;;
lasttold;SØF;S;L;;
latte;"HÅN;SØF";S;L;;
lave;KOG;S;L;;
le;HÅN;S;L;;USIKKER
ledehund;FAU;S;K;;
leding;VER;S;L;;
ledsager;SAM;S;L;1;
legeme;KRO;S;L;1;
legenhed;KOG;S;L;;
lejd;HÅN;S;L;;
lejde;"SAM;JUR";S;L;;
lejdebrev;JUR;S;L;1;USIKKER
lejder;"SØF;HÅN";S;L;;
leje;VER;S;L;;
lejle;GAS;S;L;;
lejlighed;SAM;S;L;;
lejr;MIL;S;K;;
lektie;"SAM;REL";S;L;;
lemmike;FLO;S;L;1;
lempe;"HAN;JUR";S;L;;
len;SAM;S;L;;
lening;BES;S;L;;
lidkøb;HAN;S;L;;
ligedeler;SAM;S;K;;USIKKER
lignelse;"REL;KOG";S;K;;
ligtorn;KRO;S;L;1;
likker;SAM;S;L;1;USIKKER
limstang;FAU;S;L;1;
linned;HÅN;S;L;1;
lire;MUS;S;L;;
lirekasse;MUS;S;L;;
lispund;KVA;S;L;;
livgeding;BES;S;L;;
lo;HÅN;S;L;;
lod;"MIL;HÅN;SØF";S;L;;
lodsmand;SØF;S;L;;
los;FAU;S;L;;
lose;HAN;S;L;;
lov;GAS;S;L;1;USIKKER
love;FØL;S;L;;
loven;HAN;S;L;;
lubbe;FAU;S;L;1;
luder;MIL;S;L;1;
luft;VER;S;L;;
luge;SØF;S;L;;
lugt;SAN;S;L;;
lune;FØL;S;L;;
lunstikke;HÅN;S;N;;USIKKER
lunte;HÅN;S;L;;
lut;MUS;S;L;;
luv;SØF;S;L;;USIKKER
lygte;HUS;S;L;;
lykke;"REL;FØL";S;L;;
lykkehjul;FØL;S;K;;
lyksalighed;FØL;S;L;;
lyske;KRO;S;L;;
lædike;HUS;S;L;;
lægmand;"SAM;REL";S;L;1;
lægte;HÅN;S;L;;
længe;SØF;S;L;;
lære;"SAM;HÅN";S;L;;
løffel;"HÅN;FAU";S;L;;
løfte;JUR;S;L;;
løgner;SAM;S;L;1;
løjert;SAM;S;L;;
løsen;MIL;S;K;;
løsgængere;SAM;S;L;;USIKKER
maddike;FAU;S;K;;USIKKER
mag;FØL;S;L;;
magt;SAM;S;L;;
maledide;REL;S;L;1;
malle;FAU;S;L;;USIKKER
malle;HAN;S;L;;
man;FLO;S;L;1;USIKKER
mandel;FLO;S;L;;
mandskab;SAM;S;L;;
mandslag;JUR;S;L;;
mang;FAU;S;L;1;
manggods;HÅN;S;K;;
mangkorn;FLO;S;L;;
manglebræt;HUS;S;L;;USIKKER
mansat;FLO;S;L;;
manse;FAU;S;L;;
marekat;FAU;S;L;;
mareminde;REL;S;L;;
mark;BES;S;L;;
markgreve;SAM;S;L;;
marsk;VER;S;L;;
marskal;MIL;S;L;;
marstald;SAM;S;L;;
marter;HAN;S;L;;
marterpæl;SAM;S;N;;USIKKER
mase;"KRO;FLO";S;L;;
mask;FLO;S;L;;
maskepi;SAM;S;L;;
mast;SØF;S;L;;
mat;SØF;S;L;;
materie;KRO;S;L;;
matjessild;GAS;S;K;;
medbroder;SAM;S;K;;
medgift;BES;S;L;;
medister;GAS;S;K;;
medisterpølse;GAS;S;K;;
medlidenhed;FØL;S;K;;
mejer;SAM;S;L;;
mejerske;SAM;S;L;;
melding;SPR;S;L;1;
menig;SAM;S;L;1;
mening;KOG;S;L;1;
menneske;SAM;S;L;;USIKKER
messe;REL;S;L;;
messing;HÅN;S;L;;
mestepart;KVA;S;L;1;USIKKER
mester;SAM;S;L;;
mestermand;SAM;S;L;;
mesterskab;SAM;S;L;;
middel;"BES;SAM;RUM";S;L;;
midler;SAM;S;L;1;
midnat;TID;S;K;;
mile;HÅN;S;L;;
minde;JUR;S;K;;
mink;FAU;S;L;;
misdæder;JUR;S;L;;
mishag;FØL;S;L;;
missemav;FAU;S;L;1;
mitte;FAU;S;L;;USIKKER
mode;SAM;S;L;;
modefarve;HÅN;S;L;;USIKKER
moderløs;"FAU;FLO";S;L;1;USIKKER
mor;VER;S;K;;
morads;VER;S;L;;
morbær;FLO;S;L;;
morderi;HAN;S;L;;
morgen;KVA;S;L;;
morgendag;TID;S;K;;
morian;SAM;S;L;;
morrod;FLO;S;K;;
morsel;GAS;S;L;;
morter;HUS;S;L;;
mortér;MIL;S;L;;
mos;GAS;S;L;;
moskølle;SØF;S;K;;
most;GAS;S;L;;
mudder;VER;S;L;;
mug;VER;S;L;1;
muk;KRO;S;L;;
mumme;BEK;S;L;;
mundlæder;KRO;S;K;;USIKKER
mundskænk;SAM;S;K;;
munk;REL;S;L;;
murermester;HÅN;S;K;1;USIKKER
musling;FAU;S;L;;
mussel;FAU;S;L;;
mynster;REL;S;L;;
mynte;FLO;S;L;;
mysike;FLO;S;L;;
mytse;SØF;S;L;;
mytteri;"SØF;JUR";S;L;;
mæfikke;FAU;S;L;;
mægler;"JUR;HÅN";S;L;;
mælde;FLO;S;L;;
mælkemund;SAM;S;L;;
mærling;SØF;S;L;1;USIKKER
mærs;"SØF;HUS";S;L;;
mæsk;GAS;S;L;;
mæslinger;KRO;S;L;;USIKKER
mødrene;SLÆ;S;L;1;
møje;FØL;S;L;;
mølle;HÅN;S;L;;
møller;HÅN;S;L;;
mønje;HÅN;S;L;;
mønster;HÅN;S;L;;
mønsterplads;MIL;S;L;;
mønstring;"HAN;SØF;MIL";S;L;1;USIKKER
mønt;BES;S;L;;
mønter;HÅN;S;L;;
mørser;MIL;S;L;;
måde;"KVA;HAN";S;L;;
måltid;GAS;S;L;;USIKKER
måneså;FLO;S;L;;
måtte;HUS;S;L;;
naboerske;SAM;S;L;;
nagletog;HÅN;S;N;;USIKKER
nakke;KRO;S;L;;
nar;SAM;S;L;;
narv;"HÅN;KRO";S;L;;
natelrem;BEK;S;L;;
nathus;SØF;S;L;;USIKKER
natskade;FLO;S;L;;
nattergal;FAU;S;L;;
navleorm;KRO;S;L;;
negenøje;FAU;S;L;;
nellike;GAS;S;L;;
nest;FAU;S;L;;
nid;FØL;S;L;;
nobel;BES;S;L;;
nobiskro;REL;S;L;;
noppe;HÅN;S;K;;USIKKER
nyk;BEV;S;K;;USIKKER
nykke;KOG;S;L;;
nymære;KOG;S;L;1;USIKKER
nytte;HAN;S;K;;USIKKER
næb;FAU;S;L;;
næsedug;BEK;S;L;;
nødhjælper;SAM;S;K;;USIKKER
nødstald;SAM;S;K;;
nødtørft;HAN;S;L;;
nødværge;JUR;S;L;;
nåd;SØF;S;L;;
nådler;HÅN;S;K;;
offer;REL;S;L;;
offerpenge;REL;S;L;1;USIKKER
oldefader;SLÆ;S;L;;
oldemoder;SLÆ;S;L;;
oldentorre;FAU;S;L;1;
oldermand;SAM;S;L;;
oldfrue;HUS;S;L;1;USIKKER
oldgesel;HÅN;S;L;;
olie;"FLO;HÅN";S;L;;
oliebrødkage;GAS;S;L;1;
om;SLÆ;S;L;;
omstændighed;KOG;S;L;;
ophæver;"SAM;HÅN";S;K;;
opkomst;HAN;S;L;1;
opløb;"HAN;SØF;SAM";S;K;;
oprømmer;HÅN;S;K;;
oprør;"SAM;VER";S;K;;
opsat;"FLO;KOG";S;L;1;USIKKER
opsidder;SAM;S;L;1;USIKKER
opsigt;HAN;S;L;;
optog;"HAN;MIL";S;L;;
orden;"KOG;SAM";S;L;;
ordning;SAM;S;L;;
ore;FAU;S;L;;
organist;MUS;S;L;;
orgel;MUS;S;L;;
orgelist;MUS;S;L;;
orlog;"MIL;SØF";S;L;;
orlogger;SØF;S;L;;
orlov;JUR;S;L;;
ort;"VER;HÅN";S;L;;
ort;"BES;KVA";S;L;;
os;FLO;S;L;;
ost;"VER;SØF";S;L;;
overdåd;FØL;S;L;;
overdådighed;SAM;S;K;;
overfald;MIL;S;L;;
overflod;"KVA;VER";S;L;;
overhaling;SPR;S;K;;
overherre;SAM;S;L;1;
overhæng;HÅN;S;L;1;USIKKER
overhånd;HAN;S;K;;
overlast;HAN;S;L;1;USIKKER
overløb;BES;S;L;1;USIKKER
overmod;FØL;S;L;;
overskærer;"HÅN;MIL";S;L;;
overslag;"HAN;BES";S;K;;
ovnbrød;GAS;S;L;1;
ovrighed;SAM;S;L;;
padde;FAU;S;L;;
paddehat;FLO;S;L;1;
pagt;JUR;S;L;;
pak;BES;S;L;;
pakkenelliker;BES;S;K;;
palads;SAM;S;L;;
paladsgreve;SAM;S;L;;
pale;REL;S;L;;
paltsrok;BEK;S;L;;
pamper;MIL;S;L;;
pande;HUS;S;L;;
pander;MIL;S;L;1;
panel;HUS;S;L;;
panser;"BEK;MIL;HÅN";S;L;;
pant;JUR;S;L;;
pantoffel;BEK;S;L;;
pap;GAS;S;L;;
papegøje;FAU;S;L;;
papir;HÅN;S;L;;
par;KVA;S;L;;
paradiskorn;FLO;S;L;;
pardel;SAM;S;L;;
parder;FAU;S;L;;
parkem;BEK;S;L;;
parlament;SAM;S;L;;
part;"SAM;JUR";S;L;;
parti;"SAM;KVA;JUR";S;L;1;USIKKER
partisan;MIL;S;L;1;USIKKER
pas;"KVA;RUM";S;L;;
pas;"SAM;BEV";S;L;;
pasbord;JUR;S;L;;
pashamp;HÅN;S;L;;
passager;BEV;S;L;1;USIKKER
passion;"REL;FØL";S;L;1;USIKKER
passionerer;BEV;S;L;;
patine;BEK;S;L;;
patron;"HÅN;MIL";S;L;;
patrone;SAM;S;L;;
paulun;SAM;S;L;;
pave;REL;S;L;;
pavement;HUS;S;L;;
pavst;REL;S;L;;
pebling;SAM;S;N;;
pejs;HUS;S;L;;USIKKER
peklin;BEK;S;L;;
peld;BEK;S;L;;
pels;"FAU;BEK";S;L;;
pelser;HÅN;S;L;;
pelteri;HÅN;S;L;;
pene;JUR;S;L;;
penningebrev;JUR;S;L;;
penningebræde;BES;S;L;;
pens;BES;S;L;;
pensel;HÅN;S;L;;
pension;BES;S;L;;
pergament;HÅN;S;L;;
perikel;FØL;S;L;;
perk;SAM;S;L;;
perle;VER;S;L;;
perm;HÅN;S;L;;
perse;HÅN;S;L;;
persik;FLO;S;L;;
persil;RUM;S;L;;
persille;FLO;S;L;;
persone;SAM;S;L;;
pert;FAU;S;L;;
pert;SØF;S;L;;
pfalzgreve;SAM;S;L;;
pibe;"MUS;KVA;HÅN";S;L;;
pibekande;HUS;S;L;;
pibeovn;HUS;S;L;;
piber;"MUS;SØF;FAU";S;L;;
pik;MIL;S;L;1;
pikkelhering;GAS;S;L;;
pikkelhue;MIL;S;L;;
pikkeronne;SØF;S;L;1;
pil;MIL;S;L;;
pilar;"HÅN;GAS";S;L;;
pilkentavl;HUS;S;L;;
pille;HÅN;S;L;;
pille;KRO;S;L;;
pindsyl;HÅN;S;L;;
pinebænk;JUR;S;K;;
pinelighed;FØL;S;L;;
pings;REL;S;L;;
pinke;SØF;S;L;;
pinse;REL;S;L;;
pinsun;KVA;S;L;;
pint;KVA;S;L;;
pint;KRO;S;L;;
pip;KRO;S;L;;
piping;FLO;S;L;;
pirris;SAM;S;L;1;
pis;KRO;S;L;1;
pisel;HUS;S;L;;
pit;KRO;S;L;;
pitser;HUS;S;L;;
pitserring;BEK;S;L;;
pjalt;"BEK;FØL";S;L;;
plade;"RUM;HÅN";S;L;;
pladeslager;HÅN;S;L;;
plads;"SAM;VER";S;L;;
plage;FØL;S;L;;
plan;"HÅN;RUM;KOG";S;L;1;
planche;HÅN;S;L;;
planet;VER;S;L;1;
planke;HÅN;S;L;;
planse;HÅN;S;L;;
plante;FLO;S;L;;
plasning;TID;S;L;;
plaster;KRO;S;L;1;
platte;"RUM;HUS";S;L;;
plattenslager;"HÅN;SAM";S;L;;
plejl;HÅN;S;L;;USIKKER
pligt;"SAM;FØL";S;L;;
pligt;SØF;S;L;;
plogskat;SAM;S;L;;
pluds;MIL;S;L;;
plukgæld;BES;S;K;;USIKKER
plyg;HÅN;S;L;1;
plyndergreve;SØF;S;N;;
plæk;VER;S;L;;
pløk;HÅN;S;L;;
podagel;KRO;S;L;;
podagra;KRO;S;L;;
pode;FLO;S;L;;
poderis;FLO;S;L;;
pogge;FAU;S;L;;
pojte;GAS;S;L;;
pok;MIL;S;L;;
pokker;"KRO;REL";S;L;;
pol;FLO;S;L;;
polamit;BEK;S;L;;
poleje;FLO;S;L;;
poløxe;MIL;S;L;;
pometekens;BEK;S;L;;
pomissten;"VER;HÅN";S;L;;
popelsi;KRO;S;L;;
poppel;FLO;S;L;;
poppele;FLO;S;L;1;
porreløg;FLO;S;L;;
pors;"FLO;GAS";S;L;;
port;"SAM;HUS";S;L;;
porthus;SAM;S;L;;
portner;SAM;S;L;;
portugaløs;BES;S;L;;
positiv;MUS;S;L;;
possement;HAN;S;L;;
post;HÅN;S;L;;
post;FLO;S;L;;
posteg;GAS;S;L;;
postej;MIL;S;L;;
postelats;BES;S;L;;
pote;FAU;S;L;;
potte;"HÅN;FLO";S;L;;
potter;HÅN;S;L;;
potteskår;HÅN;S;K;;USIKKER
pragt;"HAN;BES;FØL";S;L;;
prakker;SAM;S;L;;
prakkerfoged;SAM;S;L;;
praktik;"SAM;HAN";S;L;1;
pral;HAN;S;L;;
pram;SØF;S;L;;
prampering;HAN;S;L;;
prang;HAN;S;L;;
prange;"HAN;BES;SAM";S;L;;
preg;HÅN;S;L;;
prent;HÅN;S;L;;
prenteri;HÅN;S;L;;
present;SAM;S;L;1;
prik;"HÅN;VER";S;L;;
primegæld;SØF;S;K;;USIKKER
prin;HÅN;S;L;;
pris;BES;S;L;;
pris;"HAN;BES;FØL";S;L;;
prison;JUR;S;L;;
proces;HAN;S;L;;
prop;HÅN;S;L;;
proviant;GAS;S;L;;
proviantbrød;GAS;S;L;;
provst;REL;S;L;;
provsti;REL;S;L;;
prunk;SAM;S;L;;
prys;VER;S;L;;
pryssing;GAS;S;L;;
prøve;"HAN;SAM";S;L;;
pudder;"VER;BEK;GAS";S;L;1;
pudderbysse;GAS;S;L;;
puds;HAN;S;L;;
pugge;FAU;S;L;1;
puk;HAN;S;L;;
pukkel;"VER;FAU;KRO";S;L;;
pukker;HÅN;S;L;;
pukkere;SAM;S;L;;
pukpyk;HAN;S;L;1;
puld;BEK;S;L;;
pulpet;HUS;S;L;1;USIKKER
puls;KRO;S;L;1;
puls;HÅN;S;L;;
pult;"HUS;HÅN";S;L;;
pulteri;SAM;S;L;;
pulver;HÅN;S;L;;
pumpe;"SØF;HÅN";S;L;;
pumpetugge;HÅN;S;L;1;
pundert;BES;S;L;1;
pundert;MIL;S;L;;
puppe;"HUS;FLO";S;L;;
pus;VER;S;L;;
puster;HÅN;S;L;;
put;VER;S;L;;
pykke;BEK;S;L;;
pynt;"HAN;BEK";S;L;;
pægl;KVA;S;L;;
pøker;SØF;S;L;;
pøl;VER;S;L;;
pølle;HUS;S;L;;
rabalder;HAN;S;L;;
rabus;HAN;S;L;;
rack;HUS;S;L;1;
rad;SAM;S;L;;
raft;"HÅN;FLO";S;L;1;
rage;HUS;S;L;;
rak;SAM;S;L;1;USIKKER
rakker;HÅN;S;L;;
rakkeri;"HAN;FØL";S;L;;
rakkerknægt;HÅN;S;L;;
rakkerkule;HÅN;S;L;;
ram;HAN;S;L;;
ramme;HÅN;S;L;;
rampe;KRO;S;L;;
rams;FLO;S;L;;
ranke;FLO;S;L;;
ransel;"BEK;SØF";S;L;;
ranson;BES;S;L;;
ranson;SØF;S;L;1;
ransoning;BES;S;L;;
raphøns;FLO;S;L;;
ras;VER;S;L;;
rask;HÅN;S;L;;
raskop;SAM;S;L;;
rasp;HÅN;S;L;;
rast;HAN;S;L;;
rat;SØF;S;L;;
re;"HAN;SAM";S;L;;
rebbenspær;GAS;S;L;;
rebe;HÅN;S;L;;
reberbane;HÅN;S;L;;
rebslager;HÅN;S;K;;
rebsmand;JUR;S;K;;
red;SØF;S;L;;
redding;HAN;S;L;1;
reder;SØF;S;L;;
redskab;HÅN;S;L;;
regd;SØF;S;L;1;
regel;"HUS;HÅN";S;L;;
regerer;SAM;S;L;;
regimente;SAM;S;K;;USIKKER
regnskab;BES;S;L;;
rejnfald;GAS;S;L;;
rejnfan;FLO;S;L;;
rejse;"HAN;BEV;MIL";S;L;;
rejsner;"SAM;MIL";S;L;;
rem;HÅN;S;L;;
rem;HÅN;S;L;1;
remmesnider;HÅN;S;L;;
remp;"KRO;BES";S;L;;
rende;"VER;SØF";S;L;;
rendebane;SAM;S;L;;
rendespil;HAN;S;L;;
rendesten;"SAM;SØF";S;L;;
rente;BES;S;L;;
rentemester;SAM;S;L;;
rentener;SAM;S;L;;
ret;GAS;S;K;;
ret;HAN;S;K;;
retfærdighed;"HAN;SAM";S;L;;
retgang;JUR;S;L;;
retning;"HAN;BEV";S;K;;USIKKER
retter;JUR;S;K;;USIKKER
retterbænk;"GAS;JUR";S;K;;
retterdag;JUR;S;K;;USIKKER
rettergang;JUR;S;K;;
rettesnor;"HÅN;SAM";S;L;1;USIKKER
rettesværd;JUR;S;K;;USIKKER
rettighed;"JUR;BES";S;K;;
revir;"VER;SØF";S;L;;
ribalde;SAM;S;L;;
ribbe;"KRO;HÅN";S;L;;
ribbe;HÅN;S;L;;
ridder;"SAM;MIL";S;L;;
ridderskab;"HAN;SAM;MIL";S;L;;USIKKER
riddersmand;"SAM;MIL";S;K;;USIKKER
ridelagen;HUS;S;L;;
rigel;"HÅN;HUS";S;L;1;
rim;SPR;S;L;;
rind;GAS;S;L;;
rindsel;BEK;S;L;1;USIKKER
ringeldue;FAU;S;L;;
ris;"FLO;HÅN";S;L;;
ris;FLO;S;L;;
ris;KVA;S;L;;
risp;HÅN;S;L;1;
rist;"GAS;HUS";S;K;;USIKKER
rist;FAU;S;L;;
ritmester;MIL;S;L;;
rode;"SAM;MIL";S;L;;
rode;"BES;KVA";S;L;;
rodemester;"SAM;MIL";S;L;;
rodset;BEK;S;L;;
roe;FLO;S;L;;
roe;KRO;S;L;1;USIKKER
rok;HÅN;S;L;;
rok;BEK;S;L;;
rokke;FAU;S;L;;
rokkel;FAU;S;L;;
roland;SAM;S;L;;
romer;VER;S;L;;
ror;"SØF;HÅN";S;L;;
ros;FAU;S;L;;
rosbåre;BEV;S;L;;
rose;FLO;S;L;1;USIKKER
rosennobel;BES;S;L;;
rosin;GAS;S;L;;
rost;HAN;S;L;;
rotlask;HÅN;S;L;;
rotsten;HÅN;S;L;;
rotte;FAU;S;L;;
rottekrudt;FAU;S;L;;
rotværk;BEK;S;L;;
rov;"HAN;BES";S;L;;
rubank;HÅN;S;L;1;
rud;HÅN;S;L;;
rude;"RUM;HUS";S;L;;
rude;FLO;S;L;;
ruelse;FØL;S;L;;
ruf;"SØF;HÅN";S;L;;
ruffer;SAM;S;L;;
rufferi;HAN;S;L;;
rufferske;SAM;S;L;;
rug;FLO;S;L;;USIKKER
rugfoder;FAU;S;K;;USIKKER
rughugger;HÅN;S;L;;
ruldug;HUS;S;L;;
rulle;"HÅN;SAM";S;L;;
rumeni;GAS;S;L;;
rummeldøs;GAS;S;L;;
rumor;HAN;S;L;;
rumpe;KRO;S;L;;USIKKER
runddel;RUM;S;L;;
rundholt;SØF;S;L;;USIKKER
ruse;FAU;S;L;;
russer;VER;S;L;;
rust;HAN;S;L;;
rustmester;MIL;S;L;;
rygfoer;HÅN;S;K;;
rygkræft;KRO;S;L;;USIKKER
rygte;"SPR;FØL";S;L;;
rylagen;HUS;S;L;;
rympling;FAU;S;L;1;
ryting;MIL;S;L;;
rytter;MIL;S;L;;
rytteri;MIL;S;L;;
ræddike;FLO;S;L;;
ræk;HUS;S;L;;
rækel;"FAU;SAM";S;L;;
række;"HUS;HÅN";S;K;;
rækkebænk;JUR;S;K;;USIKKER
ræling;SØF;S;L;1;
rødbrissel;FLO;S;L;;
rødgyder;HÅN;S;L;;
rødskær;FLO;S;K;;USIKKER
rødsten;"VER;HÅN";S;L;1;
røffel;SPR;S;L;1;
røjer;SØF;S;L;;
røllike;FLO;S;L;;
rør;MIL;S;K;;
rørdrum;FAU;S;L;;
røre;"HAN;BEV";S;L;1;USIKKER
røst;MIL;S;L;;
røstmester;MIL;S;L;1;
røver;SAM;S;L;;USIKKER
rådhus;SAM;S;K;;
rådne;VER;S;L;;
rådsfrue;SAM;S;L;1;USIKKER
rådslag;"KOG;SAM;SPR";S;L;;USIKKER
rådstol;SAM;S;K;;
råge;FAU;S;L;1;
sabel;FAU;S;L;;
sadde;VER;S;L;1;
sadden;BEK;S;L;;
sade;FØL;S;L;;
sadelfad;HUS;S;L;;
sadelmager;HÅN;S;L;;
sagthed;HAN;S;L;;
sagtighed;HAN;S;L;;
sagtmod;FØL;S;L;;
sagvolder;JUR;S;L;1;USIKKER
salighed;REL;S;L;;
sallun;HUS;S;L;;
salse;GAS;S;L;;
salsirken;HUS;S;L;;
saltsole;VER;S;K;1;
salve;KRO;S;L;;
salving;REL;S;L;;
samarie;"BEK;REL";S;L;;
samkøb;BES;S;L;;
samvittighed;KOG;S;L;;
sandart;FAU;S;L;;
sanddune;VER;S;L;;
sangmester;MUS;S;K;;USIKKER
sap;VER;S;L;;
sardug;BEK;S;L;;
sargiant;MIL;S;L;;
sasse;VER;S;L;;
sav;HÅN;S;K;;USIKKER
savblok;HÅN;S;L;;
savdæle;HÅN;S;L;;
save;KRO;S;L;;
schartek;SAM;S;L;;
schout;SAM;S;L;1;
seddel;"BES;SAM";S;L;;
sedfer;FLO;S;L;;
segl;FLO;S;L;;
segl;"SAM;JUR";S;L;;
seglatie;SØF;S;L;;
seglsten;SØF;S;L;;
sejdenskib;SØF;S;L;;
sejdespil;MUS;S;L;;
sejer;TID;S;L;;
sejerstund;TID;S;L;;
sejerværk;HÅN;S;L;;
sejlads;SØF;S;L;;
sejlgarn;SØF;S;L;;
sejser;HÅN;S;K;;USIKKER
sekkering;HAN;S;L;;
selle;"SAM;HÅN";S;L;;
selskab;SAM;S;L;;
semand;SLÆ;S;L;;
sengenætter;SLÆ;S;K;;USIKKER
serpentine;"MIL;VER;HUS";S;K;;USIKKER
setteni;HÅN;S;L;;
sevenbom;FLO;S;L;;
si;HUS;S;L;1;USIKKER
sideldort;HÅN;S;L;;
siden;HÅN;S;L;;
